date       n1 n2 n3 n4 n5 *1 *2
30/12/2011 16 36 43 44 50 07 08
27/12/2011 19 21 25 26 44 03 07
23/12/2011 07 21 22 24 28 01 11
20/12/2011 01 09 12 14 48 01 07
16/12/2011 02 05 10 23 31 02 05
13/12/2011 07 12 18 33 37 01 11
09/12/2011 12 21 29 44 47 01 02
06/12/2011 19 20 21 34 38 03 09
02/12/2011 07 27 30 40 43 08 09
29/11/2011 11 25 41 45 50 02 07
25/11/2011 14 19 26 28 34 05 08
22/11/2011 16 18 24 38 40 02 04
18/11/2011 04 12 24 39 44 02 04
15/11/2011 06 17 22 45 47 03 11
11/11/2011 01 04 18 23 30 03 07
08/11/2011 01 04 15 29 40 01 05
04/11/2011 11 14 41 43 50 02 09
01/11/2011 14 20 23 45 46 01 11
28/10/2011 16 17 20 39 50 04 08
25/10/2011 12 22 27 28 39 04 10
21/10/2011 02 19 33 37 46 05 08
18/10/2011 18 23 37 46 48 02 10
14/10/2011 12 23 29 32 47 03 05
11/10/2011 01 04 12 16 48 09 10
07/10/2011 18 26 34 38 42 05 08
04/10/2011 14 16 23 38 45 08 11
30/09/2011 05 15 28 31 44 01 06
27/09/2011 18 27 28 35 40 03 05
23/09/2011 06 14 33 34 48 02 06
20/09/2011 09 19 25 36 38 07 11
16/09/2011 02 08 17 39 42 03 10
13/09/2011 09 28 30 32 49 09 10
09/09/2011 05 21 28 31 34 01 02
06/09/2011 35 42 47 48 50 08 09
02/09/2011 12 26 37 38 44 04 07
30/08/2011 02 08 10 19 46 05 09
26/08/2011 12 22 25 33 45 05 07
23/08/2011 04 06 14 42 50 02 04
19/08/2011 06 14 16 28 31 02 11
16/08/2011 01 13 17 18 45 03 08
12/08/2011 07 10 20 27 37 04 07
09/08/2011 07 23 24 34 36 08 11
05/08/2011 13 14 18 32 34 01 10
02/08/2011 05 08 14 24 33 03 08
29/07/2011 12 19 27 37 38 05 10
26/07/2011 01 05 22 25 48 03 11
22/07/2011 04 15 23 49 50 02 06
19/07/2011 03 16 25 26 35 05 09
15/07/2011 06 26 33 34 39 03 04
12/07/2011 17 19 38 42 45 09 10
08/07/2011 12 13 23 40 49 07 10
05/07/2011 11 28 29 47 49 01 05
01/07/2011 08 11 23 31 46 08 09
28/06/2011 15 16 30 44 50 02 03
24/06/2011 05 16 20 30 41 06 11
21/06/2011 17 20 35 49 50 03 04
17/06/2011 11 16 21 22 44 03 08
14/06/2011 05 12 19 41 48 08 10
10/06/2011 03 19 20 37 48 08 11
07/06/2011 06 25 36 38 40 04 10
03/06/2011 04 39 40 49 50 02 05
31/05/2011 01 09 10 22 50 05 11
27/05/2011 09 17 25 28 49 08 09
24/05/2011 16 23 24 26 29 02 09
20/05/2011 10 14 20 25 42 08 11
17/05/2011 20 21 37 45 46 02 03
13/05/2011 09 11 17 36 47 01 02
10/05/2011 03 10 15 28 45 05 07
